name,fullname,level,type,category
VMCAI,"International Conference on Verification,Model Checking, and Abstract Interpretation",B,Meeting,4
ICWS,International Conference on Web Services(Research Track),B,Meeting,4
Middleware,International Middleware Conference,B,Meeting,4
SAS,International Static Analysis Symposium,B,Meeting,4
ESEM,International Symposium on Empirical Software Engineering and Measurement,B,Meeting,4
FM,International Symposium on Formal Methods,B,Meeting,4
ISSTA,International Symposium on Software Testing and Analysis,B,Meeting,4
HotOS,USENIX Workshop on Hot Topics in Operating Systems,B,Meeting,4
PEPM,ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,C,Meeting,4
PASTE,ACMSIGPLAN-SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,C,Meeting,4
APLAS,Asian Symposium on Programming Languages and Systems,C,Meeting,4
APSEC,Asia-Pacific Software Engineering Conference,C,Meeting,4
EASE,Evaluation and Assessment in Software Engineering,C,Meeting,4
ICECCS,IEEE International Conference on Engineering of Complex Computer Systems,C,Meeting,4
ICST,"IEEE International Conference on Software Testing, Verification and Validation",C,Meeting,4
ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software,C,Meeting,4
SCAM,IEEE International Working Conference on Source Code Analysis and Manipulation,C,Meeting,4
COMPSAC,International Computer Software and Applications Conference,C,Meeting,4
ICFEM,International Conference on Formal Engineering Methods,C,Meeting,4
TOOLS,"International Conference on Objects, Models, Components, Patterns",C,Meeting,4
SCC,International Conference on Service Computing,C,Meeting,4
ICSSP,International Conference on Software and System Process,C,Meeting,4
SEKE,International Conference on Software Engineering and Knowledge Engineering,C,Meeting,4
QRS,"International Conference on Software Quality, Reliability and Security",C,Meeting,4
ICSR,International Conference on Software Reuse,C,Meeting,4
ICWE,International Conference on Web Engineering,C,Meeting,4
SPIN,International SPIN Workshop on Model Checking of Software,C,Meeting,4
ATVA,International Symposium on Automated Technology for Verification and Analysis,C,Meeting,4
LOPSTR,International Symposium on Logic-based Program Synthesis and Transformation,C,Meeting,4
TASE,International Symposium on Theoretical Aspects of Software Engineering,C,Meeting,4
MSR,Mining Software Repositories,C,Meeting,4
REFSQ,Requirements Engineering: Foundation for Software Quality,C,Meeting,4
WICSA,Working IEEE/IFIP Conference on Software Architecture,C,Meeting,4
TODS,ACM Transactions on Database Systems,A ,Journal,4
TOIS,ACM Transactions on Information Systems,A ,Journal,4
TKDE,IEEE Transactions on Knowledge and Data Engineering,A ,Journal,4
VLDBJ,The VLDB Journal,A ,Journal,4
TKDD,ACM Transactions on Knowledge Discovery from Data,B,Journal,4
TWEB,ACM Transactions on the Web,B,Journal,4
AEI,Advanced Engineering Informatics,B,Journal,4
DKE,Data and Knowledge Engineering,B,Journal,4
DMKD,Data Mining and Knowledge Discovery,B,Journal,4
EJIS,European Journal of Information Systems,B,Journal,4
,GeoInformatica,B,Journal,4
IPM,Information Processing and Management,B,Journal,4
,Information Sciences,B,Journal,4
IS,Information Systems,B,Journal,5
JASIST,Journal of the American Society for Information Science and Technology,B,Journal,5
JWS,Journal of Web Semantics,B,Journal,5
KAIS,Knowledge and Information Systems,B,Journal,5
DPD,Distributed and Parallel Databases,C,Journal,5
I&M,Information and Management,C,Journal,5
IPL,Information Processing Letters,C,Journal,5
IR,Information Retrieval Journal,C,Journal,5
IJCIS,International Journal of Cooperative Information Systems,C,Journal,5
IJGIS,International Journal of Geographical Information Science,C,Journal,5
IJIS,International Journal of Intelligent Systems,C,Journal,5
IJKM,International Journal of Knowledge Management,C,Journal,5
IJSWIS,International Journal on Semantic Web and Information Systems,C,Journal,5
JCIS,Journal of Computer Information Systems,C,Journal,5
JDM,Journal of Database Management,C,Journal,5
JGITM,Journal of Global Information Technology Management,C,Journal,5
JIIS,Journal of Intelligent Information Systems,C,Journal,5
JSIS,Journal of Strategic Information Systems,C,Journal,5
SIGMODACM,Conference on Management of Data,A,Meeting,5
SIGKDDACM,Knowledge Discovery and Data Mining,A,Meeting,5
ICDEIEEE,International Conference on Data Engineering,A,Meeting,5
SIGIR,International Conference on Research on Development in Information Retrieval,A,Meeting,5
VLDB,International Conference on Very Large Data Bases,A,Meeting,5
CIKM,ACM International Conference on Information and Knowledge Management,B,Meeting,5
WSDM,ACM International Conference on Web Search and Data Mining,B,Meeting,5
PODS,ACM Symposium on Principles of Database Systems,B,Meeting,5
DASFAA,Database Systems for Advanced Applications,B,Meeting,5
ECML-PKDD,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,B,Meeting,5
ISWC,IEEEInternational Semantic Web Conference,B,Meeting,5
ICDM,International Conference on Data Mining,B,Meeting,5
ICDT,International Conference on Database Theory,B,Meeting,5
EDBT,International Conference on Extending DB Technology,B,Meeting,5
CIDR,International Conference on Innovative Data Systems Research,B,Meeting,5
SDM,SIAM International Conference on Data Mining,B,Meeting,5
APWeb,Asia Pacific Web Conference,C,Meeting,5
DEXA,Database and Expert System Applications,C,Meeting,5
ECIR,European Conference on IR Research,C,Meeting,5
ESWC,Extended Semantic Web Conference,C,Meeting,5
WebDB,International ACM Workshop on Web and Databases,C,Meeting,5
ER,International Conference on Conceptual Modeling,C,Meeting,5
MDM,International Conference on Mobile Data Management,C,Meeting,5
SSDBM,International Conference on Scientific and Statistical DB Management,C,Meeting,5
WAIM,International Conference on Web Age Information Management,C,Meeting,5
SSTD,International Symposium on Spatial and Temporal Databases,C,Meeting,5
PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,C,Meeting,5
WISE,Web Information Systems Engineering,C,Meeting,5
TIT,IEEE Transactions on Information Theory,A,Journal,6
IANDC,Information and Computation,A,Journal,6
SICOMP,SIAM Journal on Computing,A,Journal,6
TALG,ACM Transactions on Algorithms,B,Journal,6
TOCL,ACM Transactions on Computational Logic,B,Journal,6
TOMS,ACM Transactions on Mathematical Software,B,Journal,6
Algorithmica,Algorithmica,B,Journal,6
CC,Computational complexity,B,Journal,6
FAC,Formal Aspects of Computing,B,Journal,6
FMSD,Formal Methods in System Design,B,Journal,6
INFORMS,INFORMS Journal on Computing,B,Journal,6
JCSS,Journal of Computer and System Sciences,B,Journal,6
JGO,Journal of Global Optimization,B,Journal,6
JSC,Journal of Symbolic Computation,B,Journal,6
MSCS,Mathematical Structures in Computer Science,B,Journal,6
TCS,Theoretical Computer Science,B,Journal,6
ACTA,Acta Informatica,C,Journal,6
APAL,Annals of Pure and Applied Logic,C,Journal,6
DAM,Discrete Applied Mathematics,C,Journal,6
FUIN,Fundamenta Informaticae,C,Journal,6
LISP,Higher-Order and Symbolic Computation,C,Journal,6
IPL,Information Processing Letters,C,Journal,6
JCOMPLEXITY,Journal of Complexity,C,Journal,6
LOGCOM,Journal of Logic and Computation,C,Journal,6
JSL,Journal of Symbolic Logic,C,Journal,6
LMCS,Logical Methods in Computer Science,C,Journal,6
SIDMA,SIAM Journal on Discrete Mathematics,C,Journal,6
,Theory of Computing Systems,C,Journal,6
STOC,ACM Symposium on Theory of Computing,A,Meeting,6
SODA,ACM-SIAM Symposium on Discrete Algorithms,A,Meeting,6
CAV,Computer Aided Verification,A,Meeting,6
FOCS,IEEE Annual Symposium on Foundations of Computer Science,A,Meeting,6
